TemplateID	LmQuery	Query
4700000013	понимать спасибо я	я поняла спасибо
4700000013	понимать спасибо	Поняла. Спасибо
4700000013	быть ждать спасибо	спасибо, буду ждать
4700000013	ока спасибо	ок. спасибо
4700000013	вы понимать спасибо я	Я поняла Вас,спасибо!
4700000013	ответ получать свой спасибо	Спасибо, получили вопрос на свой ответ
4700000013	понимать спасибо хорошо я	Хорошо, спасибо, я поняла
4700000013	быть здавать спасибо	Спасибо, буду здать
4700000013	быть знать спасибо	Спасибо, буду знать
4700000013	благодарить	Благодарю!!!
4700000013	благодарить вы	Благодарю вас.
4700000013	благодарить ответ	Благодарю за ответ.
4700000013	благодарить помощь	Благодарю за помощь
4700000013	благодарить отлично	Отлично! Благодарю!
4700000013	благодарить супер	Супер, благодарю!
4700000013	благодарить увидеть	Увидела. Благодарю
4700000013	благодарить ясно	Ясно.Благодарю
4700000013	благодарить хорошо	Хорошо, благодарю
4700000013	да спасибо	Да, спасибо.
4700000013	да спасибо хорошо	Да хорошо, спасибо
4700000013	да конечно спасибо	да, конечно. Спасибо
4700000013	благодарить да	Да, благодарю
4700000013	ответ понятный спасибо	Спасибо за понятный ответ
4700000013	все понятный спасибо	Всё понятно, Спасибо!
4700000013	все понятно спасибо	Спасибо, все понятно.
4700000013	понятно спасибо	понятно. спасибо
4700000013	спасибо ясно	Ясно. спасибо.
4700000013	спасибо	спасибо)))
4700000013	ответ спасибо	Спасибо за ответ.
4700000013	изучать ответ спасибо	Спасибо за ответ, изучим!
4700000013	ответ прорабатывать спасибо	спасибо, прорабатываю ответ
4700000013	оперативный ответ спасибо	Спасибо за оперативный ответ
4700000013	спасибо хорошо	Хорошо. Спасибо
4700000013	помощь спасибо	спасибо за помощь ))
4700000013	спасибо удача	Спасибо. Удачи.
4700000013	конечно спасибо	Конечно, спасибо
4700000013	весь спасибо	Спасибо.Всего доброго.
4700000013	большой спасибо	Большое спасибо !!!!!
4700000013	огромный спасибо	СПасибо огромное!!!!
4700000013	большой вы спасибо	спасибо вам большое
4700000013	огромный ответ спасибо	Огромное спасибо за ответ!
4700000013	большой помощь спасибо	спасибо большое за помощь
4700000013	вы очень спасибо я	Спасибо, вы мне очень помогли.
4700000013	большой вы день спасибо хороший	Спасибо большое , хорошего вам дня.
4700000013	большой понимать спасибо	Поняла, спасибо большое)))
4700000013	огромный помощь спасибо	Огромное спасибо за помощь
4700000013	вы огромный спасибо	Огромное Вам спасибо!
4700000077	тестирование	тестирование
4700000077	день доюрый тест	доюрый день, тест
4700000077	проводить тестирование	Провожу Тестирование )
4700000077	прод тест тест	тест тест прод
4700000077	test	test
4700000077	слово тест	слово тест
4700000077	тест это	Добрый день! Это тест
4700000077	тест эксперт	тест для эксперта
4700000077	тэст	ТЭСТ
4700000077	просто тест это	это просто тест
4700000077	сообщение тестовый	тестовое сообщение
4700000077	запрос тестовый	Добрый день. запрос тестовый
4700000077	проверка тестовый	тестовая проверка
4700000077	проверка связь тест	проверки связи - тест
4700000088	проверка связь	проверка связи.
4700000088	проверка связь это	это проверка связи
4700000088	ваш проверка с связь сотрудник спасибо	Спасибо.. проверка связи с Вашим сотрудником!!
4700000088	оперативность проверка связь спасибо	проверка связи. спасибо за оперативность
4700000101	диплом почта	Не могу найти информацию по отправленному почтой дипломе
4700000101	где диплом мой	где мой диплом
4700000101	где диплом мой находиться	Прошу разъяснить, где находится мой диплом
4700000101	где диплом курс мой окончание	Где мой диплом по окончании курса
4700000101	где диплом находиться папка	где находиться папка дипломы
4700000101	где диплом и курсы можно посмотреть проходить	где можно посмотреть пройденные курсы и дипломы
4700000101	где диплом размещаться	где размещаются диплом
4700000101	где диплом можно мой посмотреть	где можно посмотреть мои дипломы
4700000101	где диплом скачать	где скачать диплом
4700000101	где диплом посмотреть	где посмотреть диплом
4700000101	диплом получать я	Как мне получить диплом
4700000101	документ образование получать	Как получить документы об образовании
4700000101	документ мочь отслеживать самостоятельно свой я	Как я самостоятельно могу отслеживать свои документы
4700000101	документ обучение узнавать	Как узнать, что документы по обучениям отправлены
4700000101	документ образование получать я	Как мне получить документы об образовании
4700000101	документ какой образование получение срок	Какие сроки получения документов об образовании
4700000101	документ обучение они получать	Мне нужны документы обучения, как их получить
4700000101	документ курс оригинал получать почта прохождение я	Оригинал документа о прохождении курса я получу по почте
4700000101	диплом когда получать смочь я	Когда я смогу получить диплом
4700000101	документ заканчивать и обучение	Закончил обучение и мне нужен документ
4700000101	документ ждать завершение когда курс	Когда ждать документа о завершении курса
4700000101	документ ждать завершение когда обучение	Когда ждать документа о завершении обучения
4700000101	документ законченный когда курс получать уже	Когда получу документы по уже законченным курсам
4700000101	документ когда мочь обучение окончание получать я	Когда я могу получить документы об окончании обучения
4700000101	документ и курсы мочь окончание свидетельство я	Как я могу найти документы и свидетельства об окончании курсов
4700000101	документ итог когда обучение оформлять	Когда оформят документ по итогам обучения
4700000101	документ когда курсы окончание	Когда отправят документы об окончании курсов
4700000101	все документ заканчивать ли понимать с учиться хорошо	Закончил учиться. Как понять всё ли хорошо с документами
4700000101	документ обучение окончание получать после	Как получить документы, после окончания обучения
4700000101	быть документ когда образовательный программа пройти	Когда будут отправлены документы по пройденным образовательным программам
